पंथनिरपेक्ष|JJ	1.00828812842e-05
फौजदारों|NN	5.04144064208e-06
बड़ी|XC	0.000292403557241
नाक|NN	7.56216096312e-06
बंगले|NN	1.00828812842e-05
वैयक्तिकता|NN	5.04144064208e-06
हरिजनों|NN	5.04144064208e-06
स्ट्रगल|NN	7.56216096312e-06
निपटो|VM	5.04144064208e-06
उठते|VM	1.00828812842e-05
छप्पर|NN	7.56216096312e-06
आश्चर्य|NN	6.3018008026e-05
अचनाक|JJ	5.04144064208e-06
वाटरलू|NN	5.04144064208e-06
तैयारियां|NN	7.56216096312e-06
प्रवर|XC	7.56216096312e-06
पराग|NN	7.56216096312e-06
क्रिया|NN	7.56216096312e-05
सोचा|VM	6.80594486681e-05
स्वरों|NN	7.56216096312e-06
1868|QC	5.04144064208e-06
मूलरूप|NN	1.00828812842e-05
समाजवादी|JJ	5.54558470629e-05
इंजीनियरों|NN	5.04144064208e-06
हदों|NN	5.04144064208e-06
मेहमान|NN	1.00828812842e-05
अमरसिंह|NNP	5.04144064208e-06
फसलें|NN	1.26036016052e-05
मुंह|NN	5.79765673839e-05
लोरी|NN	5.04144064208e-06
सरासर|RB	7.56216096312e-06
480|QC	5.04144064208e-06
अवैध|JJ	5.04144064208e-05
उत्तरांचल|NNP	5.04144064208e-06
पांडिचेरी|NNP	5.04144064208e-06
जानी|VM	1.76450422473e-05
मनुस्मृति|NN	5.04144064208e-06
पाएंगे|VM	7.56216096312e-06
वादी|NN	1.00828812842e-05
एड|XC	7.56216096312e-06
मल्ली|NN	5.04144064208e-06
मध्यकाल|NN	2.77279235314e-05
शिकारगाह|NN	5.04144064208e-06
माँगती|VM	7.56216096312e-06
पारीख|NNP	5.04144064208e-06
उदधृत|JJ	5.04144064208e-06
अखबारी|JJ	7.56216096312e-06
यहूदी|NN	1.26036016052e-05
खुशबू|NN	7.56216096312e-06
कितु|CC	1.00828812842e-05
अत्यावश्यक|JJ	7.56216096312e-06
संग्रामों|NN	5.04144064208e-06
बाबूगीरी|NN	5.04144064208e-06
22813|QC	5.04144064208e-06
सर|NN	3.27693641735e-05
1989|QC	2.26864828894e-05
तत्पश्चात|JJ	3.02486438525e-05
जकात|NN	5.04144064208e-06
बूटियों|NN	5.04144064208e-06
पैट्रोलियम|XC	1.00828812842e-05
मोदक|NN	5.04144064208e-06
बोलना|VM	2.01657625683e-05
एसोसियेशन|NNP	5.04144064208e-06
आलम|NN	5.04144064208e-06
यार्क|NN	7.56216096312e-06
सलाहकारों|NN	5.04144064208e-06
अवकाश|NN	3.78108048156e-05
परंपरा|JJ	5.04144064208e-06
ढील|NN	5.04144064208e-06
योद्धा|NN	7.56216096312e-06
रोषपूर्ण|JJ	5.04144064208e-06
भत्तों|NN	1.51243219262e-05
हाइड्रोकार्बन|NN	5.04144064208e-06
तैनात|JJ	1.76450422473e-05
